"MP","ADVT","HCRT","PBUF","UCPL","UCPU","HCRI","BSAFE"
"mp0001","fix","ft0",0,0,0,"fix","none"
"mp0002","iny","1o2",0,0,0,"nin","none"
"mp0003","fpa","1o2",0,0,0,"nin","none"
"mp0004","int","1o2",0,0,0,"nin","none"
"mp0005","iny","1o3",0,0,0,"nin","none"
"mp0006","fpa","1o3",0,0,0,"nin","none"
"mp0007","int","1o3",0,0,0,"nin","none"
"mp0008","iny","2o3",0,0,0,"nin","none"
"mp0009","fpa","2o3",0,0,0,"nin","none"
"mp0010","int","2o3",0,0,0,"nin","none"
"mp0011","iny","1o5",0,0,0,"nin","none"
"mp0012","fpa","1o5",0,0,0,"nin","none"
"mp0013","int","1o5",0,0,0,"nin","none"
"mp0014","iny","1o2",0,0.2,0.2,"nin","none"
"mp0015","fpa","1o2",0,0.2,0.2,"nin","none"
"mp0016","int","1o2",0,0.2,0.2,"nin","none"
"mp0017","iny","1o3",0,0.2,0.2,"nin","none"
"mp0018","fpa","1o3",0,0.2,0.2,"nin","none"
"mp0019","int","1o3",0,0.2,0.2,"nin","none"
"mp0020","iny","2o3",0,0.2,0.2,"nin","none"
"mp0021","fpa","2o3",0,0.2,0.2,"nin","none"
"mp0022","int","2o3",0,0.2,0.2,"nin","none"
"mp0023","iny","1o5",0,0.2,0.2,"nin","none"
"mp0024","fpa","1o5",0,0.2,0.2,"nin","none"
"mp0025","int","1o5",0,0.2,0.2,"nin","none"
"mp0026","iny","1o2",0,0.2,0.25,"nin","none"
"mp0027","fpa","1o2",0,0.2,0.25,"nin","none"
"mp0028","int","1o2",0,0.2,0.25,"nin","none"
"mp0029","iny","1o3",0,0.2,0.25,"nin","none"
"mp0030","fpa","1o3",0,0.2,0.25,"nin","none"
"mp0031","int","1o3",0,0.2,0.25,"nin","none"
"mp0032","iny","2o3",0,0.2,0.25,"nin","none"
"mp0033","fpa","2o3",0,0.2,0.25,"nin","none"
"mp0034","int","2o3",0,0.2,0.25,"nin","none"
"mp0035","iny","1o5",0,0.2,0.25,"nin","none"
"mp0036","fpa","1o5",0,0.2,0.25,"nin","none"
"mp0037","int","1o5",0,0.2,0.25,"nin","none"
"mp0038","iny","1o2",0,0.5,0.5,"nin","none"
"mp0039","fpa","1o2",0,0.5,0.5,"nin","none"
"mp0040","int","1o2",0,0.5,0.5,"nin","none"
"mp0041","iny","1o3",0,0.5,0.5,"nin","none"
"mp0042","fpa","1o3",0,0.5,0.5,"nin","none"
"mp0043","int","1o3",0,0.5,0.5,"nin","none"
"mp0044","iny","2o3",0,0.5,0.5,"nin","none"
"mp0045","fpa","2o3",0,0.5,0.5,"nin","none"
