"OM","STKN","LHSC","SIGR","FHIST","CVFH","IDXT","CVID","IAV","Dinitial.med","Dinitial.mean","Dinitial.cv","SSB_Bmsy.med","SSB_Bmsy.mean","TAC.mean","TAC_MSY.mean","F.mean","F_Fmsy.mean"
"om00a","STK1","bc",0,"f0",0,NA,NA,0,1,1,0,2.49467025640624,2.49467025640624,0,0,0,0
"om00b","STK1","bc",0.5,"f0",0,NA,NA,0.256483151037938,1.05421630075845,1.1379174488143,0.333755333166854,2.62992204932072,2.83872881380271,0,0,0,0
"om00c","STK1","bc",0.75,"f0",0,NA,NA,0.38163622293352,1.136789052234,1.33300644988705,0.52940607777086,2.8359138364164,3.32541154213089,0,0,0,0
"om00d","STK1","bc",1,"f0",0,NA,NA,0.502915742950987,1.26488409172619,1.6599548519557,0.755398161311754,3.15546872143075,4.14103999615111,0,0,0,0
"om00e","STK1","lowprod",0,"f0",0,NA,NA,0,1,1,0,2.50021604551288,2.50021604551288,0,0,0,0
"om00f","STK1","lowprod",0.5,"f0",0,NA,NA,0.250953637887867,1.06774246026138,1.14875598950219,0.355639818429008,2.66958683162089,2.87213815733241,0,0,0,0
"om00g","STK1","lowprod",0.75,"f0",0,NA,NA,0.373626904796602,1.16249210308799,1.35960864698729,0.558702252323442,2.9064814089226,3.39931535481568,0,0,0,0
"om00h","STK1","lowprod",1,"f0",0,NA,NA,0.492922100559553,1.30264918994457,1.71457255810677,0.789395592262601,3.25690440637376,4.28680182097462,0,0,0,0
"om00i","STK1","highprod",0,"f0",0,NA,NA,0,1,1,0,2.49478034963262,2.49478034963262,0,0,0,0
"om00j","STK1","highprod",0.5,"f0",0,NA,NA,0.258492200750866,1.05392429672782,1.13547613271032,0.32819856484185,2.62930962547694,2.83276354336254,0,0,0,0
"om00k","STK1","highprod",0.75,"f0",0,NA,NA,0.384598282776863,1.13378293498855,1.32707094481263,0.522106315300815,2.82853938695822,3.31075051568694,0,0,0,0
"om00l","STK1","highprod",1,"f0",0,NA,NA,0.506685862454854,1.25931235758612,1.64775922132017,0.747146622346027,3.14170772375538,4.11079732627549,0,0,0,0
"om00m","STK2","bc",0,"f0",0,NA,NA,0,1,1,0,2.48189089780298,2.48189089780298,0,0,0,0
"om00n","STK2","bc",0.5,"f0",0,NA,NA,0.117166478026632,1.10906259345573,1.1430479346577,0.220451710677794,2.75257235579153,2.83692026477943,0,0,0,0
"om00o","STK2","bc",0.75,"f0",0,NA,NA,0.181681904689423,1.24626503097706,1.34663242360193,0.356144607278251,3.09309383663211,3.34219475482399,0,0,0,0
"om00p","STK2","bc",1,"f0",0,NA,NA,0.250307931937517,1.46926186293241,1.68933829716214,0.521074929987232,3.646547644101,4.19275334303668,0,0,0,0
