"OM","STKN","LHSC","SIGR","FHIST","CVFH","IDXT","CVID"
"om00a","STK1","bc",0,"f0",0,NA,NA
"om00b","STK1","bc",0.5,"f0",0,NA,NA
"om00c","STK1","bc",0.75,"f0",0,NA,NA
"om00d","STK1","bc",1,"f0",0,NA,NA
"om00e","STK1","lowprod",0,"f0",0,NA,NA
"om00f","STK1","lowprod",0.5,"f0",0,NA,NA
"om00g","STK1","lowprod",0.75,"f0",0,NA,NA
"om00h","STK1","lowprod",1,"f0",0,NA,NA
"om00i","STK1","highprod",0,"f0",0,NA,NA
"om00j","STK1","highprod",0.5,"f0",0,NA,NA
"om00k","STK1","highprod",0.75,"f0",0,NA,NA
"om00l","STK1","highprod",1,"f0",0,NA,NA
"om00m","STK2","bc",0,"f0",0,NA,NA
"om00n","STK2","bc",0.5,"f0",0,NA,NA
"om00o","STK2","bc",0.75,"f0",0,NA,NA
"om00p","STK2","bc",1,"f0",0,NA,NA
"om00q","STK2","lowprod",0,"f0",0,NA,NA
"om00r","STK2","lowprod",0.5,"f0",0,NA,NA
"om00s","STK2","lowprod",0.75,"f0",0,NA,NA
"om00t","STK2","lowprod",1,"f0",0,NA,NA
"om00u","STK2","highprod",0,"f0",0,NA,NA
"om00v","STK2","highprod",0.5,"f0",0,NA,NA
"om00w","STK2","highprod",0.75,"f0",0,NA,NA
"om00x","STK2","highprod",1,"f0",0,NA,NA
