"OM","STKN","LHSC","SIGR","FHIST","CVFH","IDXT","CVID"
"omSIGR001","STK1","bc",0,"fopt",0.1,"b1p","low"
"omSIGR002","STK1","bc",0,"fopt",0.1,"b1p","high"
"omSIGR003","STK1","bc",0,"fopt",0.1,"b1p","iav"
"omSIGR004","STK1","bc",0,"fopt",0.1,"b1p","iav2"
"omSIGR005","STK1","bc",0,"flow",0.1,"b1p","low"
"omSIGR006","STK1","bc",0,"flow",0.1,"b1p","high"
"omSIGR007","STK1","bc",0,"flow",0.1,"b1p","iav"
"omSIGR008","STK1","bc",0,"flow",0.1,"b1p","iav2"
"omSIGR009","STK1","bc",0,"fhigh",0.1,"b1p","low"
"omSIGR010","STK1","bc",0,"fhigh",0.1,"b1p","high"
"omSIGR011","STK1","bc",0,"fhigh",0.1,"b1p","iav"
"omSIGR012","STK1","bc",0,"fhigh",0.1,"b1p","iav2"
"omSIGR013","STK1","lowprod",0,"fopt",0.1,"b1p","low"
"omSIGR014","STK1","lowprod",0,"fopt",0.1,"b1p","high"
"omSIGR015","STK1","lowprod",0,"fopt",0.1,"b1p","iav"
"omSIGR016","STK1","lowprod",0,"fopt",0.1,"b1p","iav2"
"omSIGR017","STK1","lowprod",0,"flow",0.1,"b1p","low"
"omSIGR018","STK1","lowprod",0,"flow",0.1,"b1p","high"
"omSIGR019","STK1","lowprod",0,"flow",0.1,"b1p","iav"
"omSIGR020","STK1","lowprod",0,"flow",0.1,"b1p","iav2"
"omSIGR021","STK1","lowprod",0,"fhigh",0.1,"b1p","low"
"omSIGR022","STK1","lowprod",0,"fhigh",0.1,"b1p","high"
"omSIGR023","STK1","lowprod",0,"fhigh",0.1,"b1p","iav"
"omSIGR024","STK1","lowprod",0,"fhigh",0.1,"b1p","iav2"
"omSIGR025","STK1","highprod",0,"fopt",0.1,"b1p","low"
"omSIGR026","STK1","highprod",0,"fopt",0.1,"b1p","high"
"omSIGR027","STK1","highprod",0,"fopt",0.1,"b1p","iav"
"omSIGR028","STK1","highprod",0,"fopt",0.1,"b1p","iav2"
"omSIGR029","STK1","highprod",0,"flow",0.1,"b1p","low"
"omSIGR030","STK1","highprod",0,"flow",0.1,"b1p","high"
"omSIGR031","STK1","highprod",0,"flow",0.1,"b1p","iav"
"omSIGR032","STK1","highprod",0,"flow",0.1,"b1p","iav2"
"omSIGR033","STK1","highprod",0,"fhigh",0.1,"b1p","low"
"omSIGR034","STK1","highprod",0,"fhigh",0.1,"b1p","high"
"omSIGR035","STK1","highprod",0,"fhigh",0.1,"b1p","iav"
"omSIGR036","STK1","highprod",0,"fhigh",0.1,"b1p","iav2"
"omSIGR037","STK2","bc",0,"fopt",0.1,"b1p","low"
"omSIGR038","STK2","bc",0,"fopt",0.1,"b1p","high"
"omSIGR039","STK2","bc",0,"fopt",0.1,"b1p","iav"
"omSIGR040","STK2","bc",0,"fopt",0.1,"b1p","iav2"
"omSIGR041","STK2","bc",0,"flow",0.1,"b1p","low"
"omSIGR042","STK2","bc",0,"flow",0.1,"b1p","high"
"omSIGR043","STK2","bc",0,"flow",0.1,"b1p","iav"
"omSIGR044","STK2","bc",0,"flow",0.1,"b1p","iav2"
"omSIGR045","STK2","bc",0,"fhigh",0.1,"b1p","low"
"omSIGR046","STK2","bc",0,"fhigh",0.1,"b1p","high"
"omSIGR047","STK2","bc",0,"fhigh",0.1,"b1p","iav"
"omSIGR048","STK2","bc",0,"fhigh",0.1,"b1p","iav2"
"omSIGR049","STK2","lowprod",0,"fopt",0.1,"b1p","low"
"omSIGR050","STK2","lowprod",0,"fopt",0.1,"b1p","high"
"omSIGR051","STK2","lowprod",0,"fopt",0.1,"b1p","iav"
"omSIGR052","STK2","lowprod",0,"fopt",0.1,"b1p","iav2"
"omSIGR053","STK2","lowprod",0,"flow",0.1,"b1p","low"
"omSIGR054","STK2","lowprod",0,"flow",0.1,"b1p","high"
"omSIGR055","STK2","lowprod",0,"flow",0.1,"b1p","iav"
"omSIGR056","STK2","lowprod",0,"flow",0.1,"b1p","iav2"
"omSIGR057","STK2","lowprod",0,"fhigh",0.1,"b1p","low"
"omSIGR058","STK2","lowprod",0,"fhigh",0.1,"b1p","high"
"omSIGR059","STK2","lowprod",0,"fhigh",0.1,"b1p","iav"
"omSIGR060","STK2","lowprod",0,"fhigh",0.1,"b1p","iav2"
"omSIGR061","STK2","highprod",0,"fopt",0.1,"b1p","low"
"omSIGR062","STK2","highprod",0,"fopt",0.1,"b1p","high"
"omSIGR063","STK2","highprod",0,"fopt",0.1,"b1p","iav"
"omSIGR064","STK2","highprod",0,"fopt",0.1,"b1p","iav2"
"omSIGR065","STK2","highprod",0,"flow",0.1,"b1p","low"
"omSIGR066","STK2","highprod",0,"flow",0.1,"b1p","high"
"omSIGR067","STK2","highprod",0,"flow",0.1,"b1p","iav"
"omSIGR068","STK2","highprod",0,"flow",0.1,"b1p","iav2"
"omSIGR069","STK2","highprod",0,"fhigh",0.1,"b1p","low"
"omSIGR070","STK2","highprod",0,"fhigh",0.1,"b1p","high"
"omSIGR071","STK2","highprod",0,"fhigh",0.1,"b1p","iav"
"omSIGR072","STK2","highprod",0,"fhigh",0.1,"b1p","iav2"
