"SCENARIO","OM","MP","STKN","LHSC","SIGR","FHIST","CVFH","IDXT","CVID","ADVT","HCRT","PBUF","UCPL","UCPU","HCRI","BSAFE"
"sc000001","om001","mp0001","STK1","bc",0.75,"fopt",0.1,"b1p","low","fix","ft0",0,0,0,"fix","none"
"sc000002","om001","mp0002","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o2",0,0,0,"nin","none"
"sc000003","om001","mp0003","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o2",0,0,0,"nin","none"
"sc000004","om001","mp0004","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o2",0,0,0,"nin","none"
"sc000005","om001","mp0005","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o3",0,0,0,"nin","none"
"sc000006","om001","mp0006","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o3",0,0,0,"nin","none"
"sc000007","om001","mp0007","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o3",0,0,0,"nin","none"
"sc000008","om001","mp0008","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","2o3",0,0,0,"nin","none"
"sc000009","om001","mp0009","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","2o3",0,0,0,"nin","none"
"sc000010","om001","mp0010","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","2o3",0,0,0,"nin","none"
"sc000011","om001","mp0011","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o5",0,0,0,"nin","none"
"sc000012","om001","mp0012","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o5",0,0,0,"nin","none"
"sc000013","om001","mp0013","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o5",0,0,0,"nin","none"
"sc000014","om001","mp0014","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o2",0,0.2,0.2,"nin","none"
"sc000015","om001","mp0015","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o2",0,0.2,0.2,"nin","none"
"sc000016","om001","mp0016","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o2",0,0.2,0.2,"nin","none"
"sc000017","om001","mp0017","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o3",0,0.2,0.2,"nin","none"
"sc000018","om001","mp0018","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o3",0,0.2,0.2,"nin","none"
"sc000019","om001","mp0019","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o3",0,0.2,0.2,"nin","none"
"sc000020","om001","mp0020","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","2o3",0,0.2,0.2,"nin","none"
"sc000021","om001","mp0021","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","2o3",0,0.2,0.2,"nin","none"
"sc000022","om001","mp0022","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","2o3",0,0.2,0.2,"nin","none"
"sc000023","om001","mp0023","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o5",0,0.2,0.2,"nin","none"
"sc000024","om001","mp0024","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o5",0,0.2,0.2,"nin","none"
"sc000025","om001","mp0025","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o5",0,0.2,0.2,"nin","none"
"sc000026","om001","mp0026","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o2",0,0.2,0.25,"nin","none"
"sc000027","om001","mp0027","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o2",0,0.2,0.25,"nin","none"
"sc000028","om001","mp0028","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o2",0,0.2,0.25,"nin","none"
"sc000029","om001","mp0029","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o3",0,0.2,0.25,"nin","none"
"sc000030","om001","mp0030","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o3",0,0.2,0.25,"nin","none"
"sc000031","om001","mp0031","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o3",0,0.2,0.25,"nin","none"
"sc000032","om001","mp0032","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","2o3",0,0.2,0.25,"nin","none"
"sc000033","om001","mp0033","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","2o3",0,0.2,0.25,"nin","none"
"sc000034","om001","mp0034","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","2o3",0,0.2,0.25,"nin","none"
"sc000035","om001","mp0035","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o5",0,0.2,0.25,"nin","none"
"sc000036","om001","mp0036","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o5",0,0.2,0.25,"nin","none"
"sc000037","om001","mp0037","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o5",0,0.2,0.25,"nin","none"
"sc000038","om001","mp0038","STK1","bc",0.75,"fopt",0.1,"b1p","low","iny","1o2",0,0.5,0.5,"nin","none"
"sc000039","om001","mp0039","STK1","bc",0.75,"fopt",0.1,"b1p","low","fpa","1o2",0,0.5,0.5,"nin","none"
"sc000040","om001","mp0040","STK1","bc",0.75,"fopt",0.1,"b1p","low","int","1o2",0,0.5,0.5,"nin","none"
