"ftgt";"fprop_s1";"fprop_s2";"biomass";"b1plus";"ssb";"rec";"ssbpr";"fbar";"pF_s1";"pF_s2";"yield";"pY_s1";"pY_s2";"YPR";"hr_b1plus";"hr_ssb";"conv";"rec0";"ssb0";"ssbpr0";"ratioR";"ratioB";"ratioSPR";"slope";"rslope";"fmsy";"f01"
0;0.1;0.9;125541.184395754;125541.184395754;1e+05;27489765.5170204;0.00363771746027024;0;0.1;0.9;0;0;0;0;0;0;1;27489765.5170204;1e+05;0.00363771746027024;1;1;1;86534.8329950821;1;FALSE;FALSE
0.01;0.1;0.9;124309.759932743;124309.759932743;99070.0519347663;27468278.9759399;0.00360670765072482;0.01;0.1;0.9;865.348329950821;0.134661552386916;0.865338447613084;3.15035510855558e-05;0.00696122597629514;0.00873471158085815;1;27489765.5170204;1e+05;0.00363771746027024;0.999218380343505;0.990700519347663;0.991475476068691;84398.8552195469;0.975316555176612;FALSE;FALSE
0.02;0.1;0.9;123107.362893161;123107.362893161;98160.7509981228;27446909.1989949;0.00357638633503103;0.02;0.1;0.9;1709.33688214629;0.135105401896897;0.864894598103103;6.22779370075261e-05;0.0138849280983278;0.0174136491903875;1;27489765.5170204;1e+05;0.00363771746027024;0.998441008236355;0.981607509981228;0.983140217482792;82334.3708216805;0.951459290692335;FALSE;FALSE
0.03;0.1;0.9;121933.054479466;121933.054479466;97271.4395528639;27425655.7777042;0.00354673158378736;0.03;0.1;0.9;2532.6805903631;0.135550580715816;0.864449419284184;9.23471296690761e-05;0.0207710747604508;0.0260372479527936;1;27489765.5170204;1e+05;0.00363771746027024;0.997667868819159;0.972714395528639;0.974988195901252;80338.3479443407;0.928393170284461;FALSE;FALSE
0.04;0.1;0.9;120785.934261429;120785.934261429;96401.4866371863;27404518.2794259;0.00351772235710344;0.04;0.1;0.9;3336.0640698065;0.135997081853965;0.864002918146035;0.000121734089094026;0.0276196404010581;0.0346059400760282;1;27489765.5170204;1e+05;0.00363771746027024;0.996898946353623;0.964014866371863;0.967013627507541;78407.9111816405;0.906084965647262;FALSE;FALSE
0.05;0.1;0.9;119665.139139643;119665.139139643;95550.2872185905;27383496.2626601;0.0034893384797208;0.05;0.1;0.9;4120.14318162291;0.136444898368749;0.863555101631251;0.000150460815598668;0.0344306053646494;0.0431201548583235;1;27489765.5170204;1e+05;0.00363771746027024;0.996134224779235;0.955502872185905;0.959210966170413;76540.3314971643;0.884503139926487;FALSE;FALSE
0.06;0.1;0.9;118569.84127874;118569.84127874;94717.2607698233;27362589.274604;0.00346156059352661;0.06;0.1;0.9;4885.54649659455;0.136894023348905;0.863105976651095;0.000178548398602356;0.0412039557775013;0.051580318696791;1;27489765.5170204;1e+05;0.00363771746027024;0.995373687624303;0.947172607698233;0.951574890390047;74733.0165392703;0.863617735802616;FALSE;FALSE
0.07;0.1;0.9;117499.246081916;117499.246081916;93901.8498752273;27341796.8471835;0.00343437011108142;0.07;0.1;0.9;5632.87666198725;0.137344449891363;0.862655550108637;0.000206017062209556;0.0479396834432473;0.0599868550989355;1;27489765.5170204;1e+05;0.00363771746027024;0.994617317861613;0.939018498752273;0.944100290522917;72983.5074005697;0.843400338043265;FALSE;FALSE
0.08;0.1;0.9;116452.591581203;116452.591581203;93103.5197773745;27321118.5153179;0.00340774920050125;0.08;0.1;0.9;6362.71173599295;0.137796171191489;0.862203828808511;0.000232886209707177;0.0546377856396284;0.0683401846805279;1;27489765.5170204;1e+05;0.00363771746027024;0.993865098572844;0.931035197773745;0.936782264625933;71289.4614339927;0.823823874924958;FALSE;FALSE
0.09;0.1;0.9;115429.145304217;115429.145304217;92321.7562558101;27300553.7908621;0.00338168071472278;0.09;0.1;0.9;7075.60635033288;0.138249180407336;0.861750819592664;0.000259174462340071;0.0612982651104704;0.0766407251907925;1;27489765.5170204;1e+05;0.00363771746027024;0.993117012000658;0.923217562558101;0.929616099011593;69648.6544007767;0.804862643055368;FALSE;FALSE
