"ftgt";"fprop_s1";"fprop_s2";"biomass";"b1plus";"ssb";"rec";"ssbpr";"fbar";"pF_s1";"pF_s2";"yield";"pY_s1";"pY_s2";"YPR";"hr_b1plus";"hr_ssb";"conv";"rec0";"ssb0";"ssbpr0";"ratioR";"ratioB";"ratioSPR";"slope";"rslope";"fmsy";"f01"
0;0.1;0.9;126477.091439237;126477.091439237;1e+05;2178637.18558723;0.0459002539117343;0;0.1;0.9;0;0;0;0;0;0;1;2178637.18558723;1e+05;0.0459002539117343;1;1;1;110416.744492524;1;FALSE;FALSE
0.01;0.1;0.9;123772.136879073;123772.136879073;97647.9851193065;2177180.49031114;0.0448506614650731;0.00833333333333333;0.1;0.9;920.1395374377;0.113508993466665;0.886491006533335;0.000422628965091546;0.00743414116164681;0.00942302635649339;1;2178637.18558723;1e+05;0.0459002539117343;0.999331373169552;0.976479851193065;0.977133188659924;104673.888824886;0.947989268348456;FALSE;FALSE
0.02;0.1;0.9;121194.439564416;121194.439564416;95405.6647183538;2175726.80098129;0.0438500204507865;0.0166666666666667;0.1;0.9;1792.42194431175;0.113854289503846;0.886145710496154;0.000823826752284956;0.0147896384582815;0.0187873744143301;1;2178637.18558723;1e+05;0.0459002539117343;0.998664126076065;0.954056647183538;0.95533285142844;99331.5126823375;0.899605518518643;FALSE;FALSE
0.03;0.1;0.9;118735.455417355;118735.455417355;93265.6966172378;2174276.21704533;0.0428950544029675;0.025;0.1;0.9;2620.1845499979;0.114199510470778;0.885800489529222;0.00120508357192929;0.022067414832309;0.0280937648570956;1;2178637.18558723;1e+05;0.0459002539117343;0.997998304366256;0.932656966172378;0.934527606000923;94354.4291541205;0.854530076826427;FALSE;FALSE
0.04;0.1;0.9;116387.377161697;116387.377161697;91221.3713042213;2172828.83130674;0.0419827691854404;0.0333333333333333;0.1;0.9;3406.47145961557;0.114544642370757;0.885455357629243;0.00156775877166859;0.0292683926959103;0.0373429100101451;1;2178637.18558723;1e+05;0.0459002539117343;0.997333950637163;0.912213713042212;0.914652221013262;89711.081557281;0.812477147099325;FALSE;FALSE
0.05;0.1;0.9;114143.036570622;114143.036570622;89266.5288346533;2171384.71756344;0.0411104159076984;0.0416666666666667;0.1;0.9;4154.06380592624;0.114889670185455;0.885110329814545;0.00191309433668098;0.0363934930306156;0.0465355140404388;1;2178637.18558723;1e+05;0.0459002539117343;0.996671098762214;0.892665288346533;0.895646808114685;85373.270260591;0.773191336630754;FALSE;FALSE
0.06;0.1;0.9;111995.871064758;111995.871064758;87395.5288281192;2169943.95038213;0.0402754775360575;0.05;0.1;0.9;4865.5077247645;0.115234579689584;0.884765420310416;0.00224222737361842;0.0434436348278514;0.0556722728268342;1;2178637.18558723;1e+05;0.0459002539117343;0.996009782967712;0.873955288281192;0.877456530273381;81315.6560135109;0.736443158030407;FALSE;FALSE
0.07;0.1;0.9;109939.853020465;109939.853020465;85603.1901839699;2168506.59964606;0.0394756419915633;0.0583333333333333;0.1;0.9;5543.13819154376;0.115579356929399;0.884420643070601;0.00255620074776278;0.0504197344207103;0.0647538740043566;1;2178637.18558723;1e+05;0.0459002539117343;0.995350035330254;0.856031901839699;0.860031015677485;77515.4354475241;0.702026090370492;FALSE;FALSE
0.08;0.1;0.9;107969.436649619;107969.436649619;83884.7454879898;2167072.73075795;0.0387087818038531;0.0666666666666667;0.1;0.9;6189.10015360646;0.115923988224857;0.884076011775143;0.00285597251341064;0.0573227048844501;0.0737809969810612;1;2178637.18558723;1e+05;0.0459002539117343;0.994691885869854;0.838847454879897;0.843323914466567;73952.1071568719;0.669754460673118;FALSE;FALSE
0.09;0.1;0.9;106079.519005469;106079.519005469;82235.8072006968;2165642.41055318;0.0379729390226021;0.075;0.1;0.9;6805.36771324706;0.116268460705398;0.883731539294602;0.0031424244741812;0.0641534556062253;0.0827543128097294;1;2178637.18558723;1e+05;0.0459002539117343;0.99403536526411;0.822358072006968;0.827292570006774;70606.8980279095;0.639458248406247;FALSE;FALSE
