"ftgt";"fprop_s1";"fprop_s2";"biomass";"b1plus";"ssb";"rec";"ssbpr";"fbar";"pF_s1";"pF_s2";"yield";"pY_s1";"pY_s2";"YPR";"hr_b1plus";"hr_ssb";"conv";"rec0";"ssb0";"ssbpr0";"ratioR";"ratioB";"ratioSPR";"slope";"rslope";"fmsy";"f01"
0;0.1;0.9;126477.091439237;126477.091439237;1e+05;2178637.18558723;0.0459002539117343;0;0.1;0.9;0;0;0;0;0;0;1;2178637.18558723;1e+05;0.0459002539117343;1;1;1;109628.693165893;1;FALSE;FALSE
0.01;0.1;0.9;122888.767781732;122888.767781732;96951.0648393772;2161642.25344764;0.0448506521764868;0.00833333333333333;0.1;0.9;913.572443049105;0.113508992198781;0.886491007801219;0.000422628879312491;0.00743414113055262;0.0094230263954569;1;2178637.18558723;1e+05;0.0459002539117343;0.992199282995802;0.969510648393772;0.977132986295329;102392.884418049;0.933997126674726;FALSE;FALSE
0.02;0.1;0.9;119465.1574937;119465.1574937;94044.3530402561;2144682.53649044;0.0438500111042776;0.0166666666666667;0.1;0.9;1766.84647986618;0.113854288166095;0.886145711833905;0.000823826580300059;0.0147896383927619;0.0187873744966896;1;2178637.18558723;1e+05;0.0459002539117343;0.984414729849736;0.940443530402561;0.955332647801921;95673.6772664118;0.872706537891829;FALSE;FALSE
0.03;0.1;0.9;116195.175197183;116195.175197183;91270.3273493133;2127759.09380246;0.042895047477488;0.025;0.1;0.9;2564.12712375294;0.114199509431822;0.885800490568178;0.00120508338148877;0.0220674147562635;0.0280937649531969;1;2178637.18558723;1e+05;0.0459002539117343;0.976646826685346;0.912703273493133;0.93452745511985;89425.427766169;0.81571188330092;FALSE;FALSE
0.04;0.1;0.9;113068.697270179;113068.697270179;88620.2764914103;2110872.92442502;0.0419827624230623;0.0333333333333333;0.1;0.9;3309.33902180435;0.114544641300744;0.885455358699256;0.00156775852468987;0.0292683925940763;0.0373429101422982;1;2178637.18558723;1e+05;0.0459002539117343;0.968896032065135;0.886202764914103;0.914652073685577;83607.3102082566;0.762640763050419;FALSE;FALSE
0.05;0.1;0.9;110076.452894841;110076.452894841;86086.2219987282;2094024.92907339;0.0411104093382602;0.0416666666666667;0.1;0.9;4006.06660687316;0.11488966910651;0.88511033089349;0.00191309403782784;0.036393492899887;0.0465355142072833;1;2178637.18558723;1e+05;0.0459002539117343;0.961162759419698;0.860862219987282;0.895646664990461;78182.7951371024;0.713159966422244;FALSE;FALSE
0.06;0.1;0.9;107209.949933874;107209.949933874;83660.8539159495;2077215.98943952;0.040275471757043;0.05;0.1;0.9;4657.58989968234;0.115234578689307;0.884765421310693;0.00224222705937242;0.0434436346864736;0.055672273012676;1;2178637.18558723;1e+05;0.0459002539117343;0.953447413447883;0.836608539159494;0.877456404369621;73119.047538426;0.666969982281742;FALSE;FALSE
0.07;0.1;0.9;104461.385432697;104461.385432697;81337.4544917278;2060446.91122818;0.0394756370807168;0.0583333333333333;0.1;0.9;5266.91529583589;0.115579356031656;0.884420643968344;0.00255620043745578;0.0504197342780726;0.0647538741991435;1;2178637.18558723;1e+05;0.0459002539117343;0.945750363970222;0.813374544917277;0.860030908687958;68386.5322566842;0.623801399814191;FALSE;FALSE
0.08;0.1;0.9;101823.580937938;101823.580937938;79109.8424679039;2043718.44792887;0.0387087773993892;0.0666666666666667;0.1;0.9;5836.8030646416;0.115923987392966;0.884076012607034;0.00285597219644256;0.0573227047298517;0.073780997187672;1;2178637.18558723;1e+05;0.0459002539117343;0.938071956840306;0.791098424679039;0.84332381850928;63958.6469009893;0.58341156000287;FALSE;FALSE
0.09;0.1;0.9;99289.9253193854;99289.9253193854;76972.32380429;2027031.32674162;0.0379729325288821;0.075;0.1;0.9;6369.79178881651;0.116268459451296;0.883731540548704;0.00314242395012992;0.0641534553312114;0.0827543131608233;1;2178637.18558723;1e+05;0.0459002539117343;0.9304125258448;0.7697232380429;0.827292428532175;59811.3083655446;0.545580783992716;FALSE;FALSE
0.1;0.1;0.9;96854.313281989;96854.313281989;74919.639276274;2010386.20462587;0.0372662919711074;0.0833333333333333;0.1;0.9;6868.21935852938;0.116612759026658;0.883387240973342;0.00341636813002682;0.0709128909781511;0.0916744851533802;1;2178637.18558723;1e+05;0.0459002539117343;0.922772372529749;0.74919639276274;0.811897294572055;55922.7453065077;0.510110480126623;FALSE;FALSE
0.11;0.1;0.9;94511.1025061938;94511.1025061938;72946.9274329858;1993783.70023973;0.0365871821623453;0.0916666666666667;0.1;0.9;7334.24223608361;0.116956873260808;0.883043126739192;0.00367855461713413;0.0776019117500291;0.100542168041572;1;2178637.18558723;1e+05;0.0459002539117343;0.915151780860805;0.729469274329858;0.797101955747394;52273.2059346347;0.476820478517734;FALSE;FALSE
