"stock";"scenario";"term";"catch";"f";"hr";"ssb";"catch.iyv";"catch.MSY";"ssb.B0";"f.Fmsy";"quotaUpt";"depl.ini";"IAVhist";"RiskBlim.ini";"IAV";"Risk1.Collapse";"Risk1.Blim";"Risk3.Collapse";"Risk3.Blim";"Risk2.Collapse";"Risk2.Blim";"Risk.hrmax";"catch.var";"catch.low";"ucplow";"ucpup";"ICVperc_average";"ICVabsperc_average";"ICVperc_median";"ICVabsperc_median";"IBVperc_average";"IBVabsperc_average";"IBVperc_median";"IBVabsperc_median"
"STK1";"sc000002";"short";42422.8547368536;1.06169199879162;1.32482334162996;59061.7191351815;0.994063488731765;1.05672135282181;0.590617191351815;0.899738982026793;0.978299699020888;0.518496469737219;0.649264783881644;0.124;0.6774274914986;0.0976;0.2322;0.126;0.279;0.403;0.738;0.2214;1255878590.91821;0.013;0;0;0.643310216349762;1.19593240762389;-0.0245513691388922;0.680098229207146;0.903796659611158;1.38380229495115;0.145608763615783;0.697217543476101
"STK1";"sc000002";"mid";32756.6299357848;0.546128501842604;0.64823245049949;78695.5818095835;1.02577617828672;0.815942974944483;0.786955818095835;0.462820764273393;0.996972493614499;0.518496469737219;0.649264783881644;0.124;0.585046844607202;0.0292;0.0882;0.047;0.124;0.122;0.315;0.0728;679570941.123033;0.018;0;0;0.586323058426317;1.03797427276962;0.0175290201967362;0.563664670977371;0.618270011557081;1.00990855383394;0.0619606851352972;0.509391517450515
"STK1";"sc000002";"long";16731.9402236206;0.166100426507123;0.170252151678338;110725.88203409;1.01323989074399;0.416780026193717;1.1072588203409;0.140763073311121;1.00000257659924;0.518496469737219;0.649264783881644;0.124;0.44219999174204;0;8e-04;0;0.002;0;0.008;0.0014;145775249.552254;0.004;0;0;0.216549879329582;0.608454359669086;-0.0671000024215341;0.397620259622068;0.213945288248374;0.548272840014319;-0.0646814875669705;0.349244215849541
"STK1";"sc000074";"short";33194.9237819803;0.798572416716395;0.926431079178727;69938.9481836184;1.0146526272752;0.826860544470583;0.699389481836184;0.676756285352877;0.988487013617429;0.518496469737219;0.649264783881644;0.124;0.599074511513155;0.064;0.1624;0.097;0.242;0.244;0.535;0.1388;380837978.592824;0.001;0.164848993288591;0.542813455657492;0.0836064748619958;0.537824055079546;0.0451626487352809;0.598191573575064;0.767527148448777;1.18725415266337;0.0794949293477171;0.567274980758961
"STK1";"sc000074";"mid";20730.2644704542;0.304185099050191;0.326578056911213;97138.5466646166;1.0065932671294;0.516375271099851;0.971385466646166;0.257783982245925;0.999367217927305;0.518496469737219;0.649264783881644;0.124;0.496687738647289;0.0096;0.0352;0.023;0.068;0.037;0.13;0.017;131312217.825422;0.001;0.0461783439490446;0.448151125401929;0.0787721980759839;0.467371784957707;-0.00334693261277424;0.462209702936296;0.417600090623274;0.758882332949534;-0.020905534239116;0.404922750548487
"STK1";"sc000074";"long";5605.25256658807;0.0510943687863672;0.0515214936693221;126525.443676324;1.02446433142592;0.139622618793904;1.26525443676324;0.0433003125308197;1.00015568252796;0.518496469737219;0.649264783881644;0.124;0.397772425432129;0;3e-04;0;0.002;0;0.003;0;15085605.535055;0.261;0.00180635838150289;0.320116487455197;0.0257805602724278;0.391124923104932;-0.0740004093621164;0.359645703623796;0.156328686021973;0.460820710305418;-0.0791084236076346;0.306869730437671
"STK1";"sc000080";"short";36500.7771622174;1.23116022050769;1.5872680444735;61301.9466550507;1.00806563085571;0.909206861753184;0.613019466550508;1.04335611907432;0.907066663189035;0.518496469737219;0.649264783881644;0.124;0.662842202238165;0.1632;0.273;0.205;0.318;0.503;0.717;0.2906;627179018.118972;0.028;0.232865731462926;0.580039920159681;0.0178011551127373;0.546630030493843;-0.0916915814259795;0.621517762618426;0.844516794497658;1.33615978313732;0.0252632991641421;0.633513118511979
"STK1";"sc000080";"mid";22962.8579903309;0.573534940858919;0.723971576138476;86349.5020448411;0.975408923736862;0.571987493786405;0.863495020448411;0.486046560049931;0.969405174747486;0.518496469737219;0.649264783881644;0.124;0.577533316069505;0.0732;0.1288;0.106;0.184;0.226;0.363;0.1096;331733678.588658;0.058;0.195121951219512;0.591864406779661;0.164636936782224;0.551648640239585;0.21586182909678;0.647003391106244;0.703788945067947;1.06730762007314;0.036203769558842;0.463424510716776
"STK1";"sc000080";"long";9472.08602806122;0.110100615747747;0.117753021196409;120377.168120742;1.02181568123181;0.235942527293481;1.20377168120742;0.093305606565887;0.999221172936405;0.518496469737219;0.649264783881644;0.124;0.42174849209726;0.0019;0.0062;0.006;0.017;0.017;0.046;0.0053;84885465.6121182;0.254;0.015484123872991;0.353409554920376;0.0671225407174303;0.415041749841856;-0.013901680725996;0.384531481822645;0.20249042701018;0.519493587895789;-0.0712536417931391;0.324660027606392
"STK1";"sc000098";"short";43345.9432237351;1.19120352299951;1.42652226611519;57893.6160858484;1.01835149640871;1.07971479163404;0.578936160858484;1.00949451101654;0.962604176138781;0.518496469737219;0.649264783881644;0.124;0.672512235483972;0.111;0.2452;0.138;0.283;0.411;0.723;0.24;976834837.12098;0;0.26577812622501;0.124540628828093;0.452527996666996;0.988423041105256;-0.0352742345019688;0.676094775609163;0.869379090777068;1.36293354446486;0.0971008940787492;0.686579198856501
"STK1";"sc000098";"mid";36517.0232191202;0.828076697892707;0.961556655822341;70517.0560737384;1.00506090056792;0.90961153879189;0.705170560737384;0.701759913468396;0.980055769735769;0.518496469737219;0.649264783881644;0.124;0.624669626401832;0.0702;0.1582;0.086;0.19;0.232;0.442;0.1332;679817640.002976;0.001;0.177566389219184;0.112232539362132;0.454303681397955;0.93073570633323;-0.0166013088837316;0.595003097772876;0.738582129613349;1.17065756920215;0.0439907365992455;0.562233702264703
"STK1";"sc000098";"long";21933.7303434168;0.295907397431534;0.318712618832828;101567.384268376;1.00747489983081;0.546352699380911;1.01567384268376;0.250768980874182;0.99642260416921;0.518496469737219;0.649264783881644;0.124;0.479656397418011;0.0086;0.0249;0.013;0.034;0.042;0.112;0.0214;291633705.673336;0.003;0.0415108451757666;0.0367583834909716;0.24430189328592;0.652877584197324;-0.0594393516276495;0.429822390219327;0.298767189300041;0.654026428948859;-0.0542311579197588;0.380391702394977
"STK1";"sc000195";"short";36139.7352090237;0.572580293398534;0.654047662837464;79115.6052000104;1.00393011120879;0.900213578685111;0.791156052000104;0.485237536778419;0.998358815402152;0.74843505277996;0.535125741639588;0.018;0.553355618768212;0.0144;0.0638;0.021;0.08;0.067;0.255;0.2138;711661063.537079;0.003;0;0;0.372017723199789;0.854171432470543;-0.0558979987670799;0.533761311583929;0.461169299491934;0.885848071465427;-0.00584048886197019;0.505573248531209
"STK1";"sc000195";"mid";27657.9680378324;0.359914640427943;0.397212245918006;90823.7801476501;1.00238693862198;0.688939148073192;0.908237801476501;0.305012407142324;0.999714676747497;0.74843505277996;0.535125741639588;0.018;0.517708567455659;0.007;0.0306;0.014;0.052;0.03;0.121;0.0874;402092526.231676;0.008;0;0;0.382247863164705;0.812032607637095;-0.0212145904219034;0.488866253050222;0.399366666892782;0.768920615389462;-0.0231985213017293;0.436211893152575
